2249;1105;150
278;832;180
1459;1404;391
2116;1873;307
3337;1928;443
1191;249;183
1456;1804;106
1420;157;298
1946;680;479
3503;1542;240
592;1848;162
1777;1185;431
2196;1078;281
1889;1720;233
2360;538;80
2085;1797;324
119;890;301
210;1841;425
2954;1253;100
810;808;234
3731;1803;71
1820;435;25
3619;1219;447
3960;1824;197
321;724;246
1309;801;453
3278;370;463
2;879;162
3485;1906;20
2154;1156;280
414;551;285
632;506;433
240;1344;126
1893;1017;200
2834;1384;207
2314;1089;450
1677;73;3
2339;880;127
70;984;244
2132;1084;99
7;1897;248
2359;715;347
165;550;274
1654;1486;82
449;1756;158
1060;195;492
895;10;491
3907;1503;21
3793;578;232
1904;1118;436
2256;517;122
1000;1347;324
3784;960;248
2920;1809;329
637;536;329
2959;1326;433
1911;804;419
3999;1093;486
2105;393;407
3624;1821;417
3979;1762;239
1736;127;205
2964;1170;390
32;1428;251
3217;791;55
1655;1900;182
3928;1338;275
981;1513;197
2040;690;344
2371;1434;286
2012;1975;272
954;1556;197
219;1778;3
700;487;229
1300;1251;70
3736;103;323
3688;376;106
2282;296;382
1152;93;475
1770;132;397
673;52;156
2453;462;114
2005;510;404
3014;1243;16
2347;1997;176
1365;1457;105
3382;964;268
1866;460;419
3334;578;379
3196;229;482
767;1474;394
1856;126;263
35;1248;47
3991;247;32
3944;1385;24
3370;1235;303
170;1403;42
2352;181;121
1116;1294;270
3586;1263;1
114;1710;159
3478;1919;177
129;1293;303
3241;318;440
1842;787;241
649;254;321
2905;891;60
73;1855;1
129;15;220
2279;1148;255
3208;1020;243
2184;746;221
845;885;200
3325;479;23
3431;256;209
747;1840;112
990;1092;163
513;566;222
1204;1227;39
2735;684;339
977;1482;33
846;1034;462
425;1514;217
1306;516;228
2932;989;476
804;1364;421
1822;1668;275
3238;171;192
3079;1029;180
2991;504;75
3461;1269;20
555;1117;369
1833;1789;74
514;1770;445
1424;1502;18
277;1305;5
783;317;248
3433;28;345
1706;1019;215
1680;1260;122
3287;1689;218
2098;6;291
1120;129;190
2702;900;160
1992;864;151
2043;1713;411
2640;88;26
1085;1811;97
3825;1576;352
3388;1945;133
1310;1865;486
642;673;304
2909;1748;7
2717;358;289
3958;1389;63
2452;1841;157
297;653;430
1690;787;162
1118;954;115
2711;851;224
1978;992;141
1973;1935;111
902;44;484
3078;311;417
655;486;52
3139;124;406
3525;715;279
2446;1648;225
1848;1559;12
1713;1818;142
2829;1619;95
1601;634;468
3848;995;439
905;550;106
3115;1498;301
1131;69;211
3281;586;462
1450;398;439
683;1750;206
3749;1066;238
3274;562;459
3209;1224;62
1595;1058;446
3276;1559;123
2600;1799;224
3525;1112;113
2851;343;272
2813;30;78
1622;1862;457
2383;1648;332
667;101;171
817;1510;365
1236;1832;251
579;472;399
3437;588;290
1882;1616;85
234;358;193
254;827;349
441;604;288
3447;1705;259
